"","Date","Geography","Keyword","Relative Search Intensity"
"123","June 2011","US-IL","sauce",74
"124","July 2011","US-IL","sauce",76
"125","August 2011","US-IL","sauce",80
"126","September 2011","US-IL","sauce",81
"127","October 2011","US-IL","sauce",79
"128","November 2011","US-IL","sauce",90
"129","December 2011","US-IL","sauce",89
"130","January 2012","US-IL","sauce",89
"131","February 2012","US-IL","sauce",85
"132","March 2012","US-IL","sauce",74
"133","April 2012","US-IL","sauce",78
"134","May 2012","US-IL","sauce",74
"135","June 2012","US-IL","sauce",78
"136","July 2012","US-IL","sauce",82
"137","August 2012","US-IL","sauce",92
"138","September 2012","US-IL","sauce",83
"139","October 2012","US-IL","sauce",79
"140","November 2012","US-IL","sauce",83
"141","December 2012","US-IL","sauce",90
"142","January 2013","US-IL","sauce",92
"143","February 2013","US-IL","sauce",88
"144","March 2013","US-IL","sauce",84
"145","April 2013","US-IL","sauce",74
"146","May 2013","US-IL","sauce",75
"147","June 2013","US-IL","sauce",78
"148","July 2013","US-IL","sauce",87
"149","August 2013","US-IL","sauce",93
"150","September 2013","US-IL","sauce",92
"151","October 2013","US-IL","sauce",83
"152","November 2013","US-IL","sauce",98
"153","December 2013","US-IL","sauce",93
"154","January 2014","US-IL","sauce",100
"155","February 2014","US-IL","sauce",94
"156","March 2014","US-IL","sauce",85
"157","January 2011","US-IL","dog",362.105263157895
"158","February 2011","US-IL","dog",355.5
"159","March 2011","US-IL","dog",357.352941176471
"160","April 2011","US-IL","dog",346.666666666667
"161","May 2011","US-IL","dog",361.764705882353
"162","June 2011","US-IL","dog",365.647058823529
"163","July 2011","US-IL","dog",397.882352941176
"164","August 2011","US-IL","dog",373.333333333333
"165","September 2011","US-IL","dog",369
"166","October 2011","US-IL","dog",359.888888888889
"167","November 2011","US-IL","dog",364.5
"168","December 2011","US-IL","dog",391.6
"169","January 2012","US-IL","dog",378.25
"170","February 2012","US-IL","dog",411.578947368421
"171","March 2012","US-IL","dog",393.125
"172","April 2012","US-IL","dog",394.588235294118
"173","May 2012","US-IL","dog",397.75
"174","June 2012","US-IL","dog",426.705882352941
"175","July 2012","US-IL","dog",423.666666666667
"176","August 2012","US-IL","dog",420.571428571429
"177","September 2012","US-IL","dog",380.052631578947
"178","October 2012","US-IL","dog",368.666666666667
"179","November 2012","US-IL","dog",396.555555555556
"180","December 2012","US-IL","dog",405
"181","January 2013","US-IL","dog",423.2
"182","February 2013","US-IL","dog",418
"183","March 2013","US-IL","dog",371.368421052632
"184","April 2013","US-IL","dog",383.875
"185","May 2013","US-IL","dog",392.647058823529
"186","June 2013","US-IL","dog",422.117647058824
"187","July 2013","US-IL","dog",457.894736842105
"188","August 2013","US-IL","dog",420.714285714286
"189","September 2013","US-IL","dog",400.2
"190","October 2013","US-IL","dog",388.789473684211
"191","November 2013","US-IL","dog",400.909090909091
"192","December 2013","US-IL","dog",394.142857142857
"193","January 2014","US-IL","dog",400
"194","February 2014","US-IL","dog",384.952380952381
"195","March 2014","US-IL","dog",393.684210526316
"196","January 2011","US-IL","world cup",13.5789473684211
"197","February 2011","US-IL","world cup",40.5
"198","March 2011","US-IL","world cup",52.9411764705882
"199","April 2011","US-IL","world cup",35.5555555555556
"200","May 2011","US-IL","world cup",8.82352941176471
"201","June 2011","US-IL","world cup",26.1176470588235
"202","July 2011","US-IL","world cup",98.3529411764706
"203","August 2011","US-IL","world cup",17.7777777777778
"204","September 2011","US-IL","world cup",22.5
"205","October 2011","US-IL","world cup",21.9444444444444
"206","November 2011","US-IL","world cup",9
"207","December 2011","US-IL","world cup",8.9
"208","January 2012","US-IL","world cup",8.9
"209","February 2012","US-IL","world cup",8.94736842105263
"210","March 2012","US-IL","world cup",9.25
"211","April 2012","US-IL","world cup",9.17647058823529
"212","May 2012","US-IL","world cup",9.25
"213","June 2012","US-IL","world cup",22.9411764705882
"214","July 2012","US-IL","world cup",13.6666666666667
"215","August 2012","US-IL","world cup",8.76190476190476
"216","September 2012","US-IL","world cup",13.1052631578947
"217","October 2012","US-IL","world cup",13.1666666666667
"218","November 2012","US-IL","world cup",4.61111111111111
"219","December 2012","US-IL","world cup",9
"220","January 2013","US-IL","world cup",9.2
"221","February 2013","US-IL","world cup",8.8
"222","March 2013","US-IL","world cup",13.2631578947368
"223","April 2013","US-IL","world cup",9.25
"224","May 2013","US-IL","world cup",8.82352941176471
"225","June 2013","US-IL","world cup",32.1176470588235
"226","July 2013","US-IL","world cup",18.3157894736842
"227","August 2013","US-IL","world cup",8.85714285714286
"228","September 2013","US-IL","world cup",23
"229","October 2013","US-IL","world cup",21.8421052631579
"230","November 2013","US-IL","world cup",26.7272727272727
"231","December 2013","US-IL","world cup",44.2857142857143
"232","January 2014","US-IL","world cup",18.1818181818182
"233","February 2014","US-IL","world cup",22.3809523809524
"234","March 2014","US-IL","world cup",26.8421052631579
"235","January 2011","US-IL","battlestar galactica",4.52631578947368
"236","February 2011","US-IL","battlestar galactica",4.5
"237","March 2011","US-IL","battlestar galactica",4.41176470588235
"238","April 2011","US-IL","battlestar galactica",4.44444444444444
"239","May 2011","US-IL","battlestar galactica",4.41176470588235
"240","June 2011","US-IL","battlestar galactica",4.35294117647059
"241","July 2011","US-IL","battlestar galactica",4.47058823529412
"242","August 2011","US-IL","battlestar galactica",4.44444444444444
"243","September 2011","US-IL","battlestar galactica",4.5
"244","October 2011","US-IL","battlestar galactica",4.38888888888889
"245","November 2011","US-IL","battlestar galactica",4.5
"246","December 2011","US-IL","battlestar galactica",4.45
"247","January 2012","US-IL","battlestar galactica",4.45
"248","February 2012","US-IL","battlestar galactica",4.47368421052632
"249","March 2012","US-IL","battlestar galactica",4.625
"250","April 2012","US-IL","battlestar galactica",4.58823529411765
"251","May 2012","US-IL","battlestar galactica",4.625
"252","June 2012","US-IL","battlestar galactica",4.58823529411765
"253","July 2012","US-IL","battlestar galactica",4.55555555555556
"254","August 2012","US-IL","battlestar galactica",4.38095238095238
"255","September 2012","US-IL","battlestar galactica",4.36842105263158
"256","October 2012","US-IL","battlestar galactica",4.38888888888889
"257","November 2012","US-IL","battlestar galactica",4.61111111111111
"258","December 2012","US-IL","battlestar galactica",4.5
"259","January 2013","US-IL","battlestar galactica",4.6
"260","February 2013","US-IL","battlestar galactica",4.4
"261","March 2013","US-IL","battlestar galactica",4.42105263157895
"262","April 2013","US-IL","battlestar galactica",4.625
"263","May 2013","US-IL","battlestar galactica",4.41176470588235
"264","June 2013","US-IL","battlestar galactica",4.58823529411765
"265","July 2013","US-IL","battlestar galactica",4.57894736842105
"266","August 2013","US-IL","battlestar galactica",4.42857142857143
"267","September 2013","US-IL","battlestar galactica",4.6
"268","October 2013","US-IL","battlestar galactica",4.36842105263158
"269","November 2013","US-IL","battlestar galactica",4.45454545454546
"270","December 2013","US-IL","battlestar galactica",0
"271","January 2014","US-IL","battlestar galactica",4.54545454545455
"272","February 2014","US-IL","battlestar galactica",0
"273","March 2014","US-IL","battlestar galactica",4.47368421052632
"274","January 2011","US-WI","pizza",384.736842105263
"275","February 2011","US-WI","pizza",395.470588235294
"276","March 2011","US-WI","pizza",325
"277","April 2011","US-WI","pizza",376.470588235294
"278","May 2011","US-WI","pizza",339.705882352941
"279","June 2011","US-WI","pizza",312.444444444444
"280","July 2011","US-WI","pizza",363.111111111111
"281","August 2011","US-WI","pizza",356
"282","September 2011","US-WI","pizza",313.434782608696
"283","October 2011","US-WI","pizza",359.45
"284","November 2011","US-WI","pizza",368.571428571429
"285","December 2011","US-WI","pizza",356
"286","January 2012","US-WI","pizza",360.238095238095
"287","February 2012","US-WI","pizza",357
"288","March 2012","US-WI","pizza",288.6
"289","April 2012","US-WI","pizza",385.411764705882
"290","May 2012","US-WI","pizza",356.941176470588
"291","June 2012","US-WI","pizza",394.333333333333
"292","July 2012","US-WI","pizza",422.947368421053
"293","August 2012","US-WI","pizza",388.909090909091
"294","September 2012","US-WI","pizza",318.166666666667
"295","October 2012","US-WI","pizza",361.736842105263
"296","November 2012","US-WI","pizza",305.590909090909
"297","December 2012","US-WI","pizza",380.454545454545
"298","January 2013","US-WI","pizza",359.636363636364
"299","February 2013","US-WI","pizza",368
"300","March 2013","US-WI","pizza",406.736842105263
"301","April 2013","US-WI","pizza",370
"302","May 2013","US-WI","pizza",362.5
"303","June 2013","US-WI","pizza",390
"304","July 2013","US-WI","pizza",381.142857142857
"305","August 2013","US-WI","pizza",348.75
"306","September 2013","US-WI","pizza",329.076923076923
"307","October 2013","US-WI","pizza",301.818181818182
"308","November 2013","US-WI","pizza",400.521739130435
"309","December 2013","US-WI","pizza",348.75
"310","January 2014","US-WI","pizza",356
"311","February 2014","US-WI","pizza",389.428571428571
"312","March 2014","US-WI","pizza",368.333333333333
"313","January 2011","US-WI","ice cream",40.7368421052632
"314","February 2011","US-WI","ice cream",42.8823529411765
"315","March 2011","US-WI","ice cream",37.5
"316","April 2011","US-WI","ice cream",70.5882352941177
"317","May 2011","US-WI","ice cream",57.3529411764706
"318","June 2011","US-WI","ice cream",65.7777777777778
"319","July 2011","US-WI","ice cream",63.3333333333333
"320","August 2011","US-WI","ice cream",56
"321","September 2011","US-WI","ice cream",42.2608695652174
"322","October 2011","US-WI","ice cream",43.45
"323","November 2011","US-WI","ice cream",47.1428571428571
"324","December 2011","US-WI","ice cream",46.4347826086956
"325","January 2012","US-WI","ice cream",50.8571428571429
"326","February 2012","US-WI","ice cream",51
"327","March 2012","US-WI","ice cream",48.1
"328","April 2012","US-WI","ice cream",64.2352941176471
"329","May 2012","US-WI","ice cream",69.6470588235294
"330","June 2012","US-WI","ice cream",86.6666666666667
"331","July 2012","US-WI","ice cream",90.6315789473684
"332","August 2012","US-WI","ice cream",58.5454545454545
"333","September 2012","US-WI","ice cream",38.0416666666667
"334","October 2012","US-WI","ice cream",33.2631578947368
"335","November 2012","US-WI","ice cream",33.9545454545455
